code,name,code,name,code,name
MMR011002,Kyaikmaraw,MMR011D001,Mawlamyine,MON,Mon
MMR011003,Chaungzon,MMR011D001,Mawlamyine,MON,Mon
MMR011004,Thanbyuzayat,MMR011D001,Mawlamyine,MON,Mon
MMR011005,Mudon,MMR011D001,Mawlamyine,MON,Mon
MMR011006,Ye,MMR011D001,Mawlamyine,MON,Mon
MMR011006702,Lamaing,MMR011D001,Mawlamyine,MON,Mon
MMR011006703,Khawzar,MMR011D001,Mawlamyine,MON,Mon
MMR011007,Thaton,MMR011D002,Thaton,MON,Mon
MMR011008,Paung,MMR011D002,Thaton,MON,Mon
MMR011009,Kyaikto,MMR011D002,Thaton,MON,Mon
MMR011010,Bilin,MMR011D002,Thaton,MON,Mon
MMR012001,Sittwe,MMR012D001,Sittwe,RKE,Rakhine
MMR012002,Ponnagyun,MMR012D001,Sittwe,RKE,Rakhine
MMR012007,Pauktaw,MMR012D001,Sittwe,RKE,Rakhine
MMR012008,Rathedaung,MMR012D001,Sittwe,RKE,Rakhine
MMR012003,Mrauk-U,MMR012D005,Mrauk-U,RKE,Rakhine
MMR012004,Kyauktaw,MMR012D005,Mrauk-U,RKE,Rakhine
MMR012005,Minbya,MMR012D005,Mrauk-U,RKE,Rakhine
MMR012006,Myebon,MMR012D005,Mrauk-U,RKE,Rakhine
MMR012009,Maungdaw,MMR012D002,Maungdaw,RKE,Rakhine
MMR012010,Buthidaung,MMR012D002,Maungdaw,RKE,Rakhine
MMR012009702,Taungpyoletwea,MMR012D002,Maungdaw,RKE,Rakhine
MMR012011,Kyaukpyu,MMR012D003,Kyaukpyu,RKE,Rakhine
MMR012012,Munaung,MMR012D003,Kyaukpyu,RKE,Rakhine
MMR012013,Ramree,MMR012D003,Kyaukpyu,RKE,Rakhine
MMR012014,Ann,MMR012D003,Kyaukpyu,RKE,Rakhine
MMR012015,Thandwe,MMR012D004,Thandwe,RKE,Rakhine
MMR012016,Toungup,MMR012D004,Thandwe,RKE,Rakhine
MMR012017,Gwa,MMR012D004,Thandwe,RKE,Rakhine
MMR012016702,"Ma-Ei ",MMR012D004,Thandwe,RKE,Rakhine
MMR012017702,Kyeintali,MMR012D004,Thandwe,RKE,Rakhine
MMR013001,Insein,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013002,Mingaladon,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013003,Hmawbi,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013004,Hlegu,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013005,Taikkyi,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013006,Htantabin,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013007,Shwepyithar,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013008,Hlaingtharya,MMR013D001,"Yangon (North)",YGN,Yangon
MMR013009,Thingangyun,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013010,Yankin,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013011,"South Okkalapa",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013012,"North Okkalapa",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013013,Thaketa,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013014,Dawbon,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013015,Tamwe,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013016,Pazundaung,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013017,Botahtaung,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013018,"Dagon Myothit (South)",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013019,"Dagon Myothit (North)",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013020,"Dagon Myothit (East)",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013021,"Dagon Myothit (Seikkan)",MMR013D002,"Yangon (East)",YGN,Yangon
MMR013022,Mingalartaungnyunt,MMR013D002,"Yangon (East)",YGN,Yangon
MMR013023,Thanlyin,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013024,Kyauktan,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013025,Thongwa,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013026,Kayan,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013027,Twantay,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013028,Kawhmu,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013029,Kungyangon,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013030,Dala,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013031,Seikgyikanaungto,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013032,Cocokyun,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013024702,Tadar,MMR013D003,"Yangon (South)",YGN,Yangon
MMR013033,Kyauktada,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013034,Pabedan,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013035,Lanmadaw,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013036,Latha,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013037,Ahlone,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013038,Kyeemyindaing,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013039,Sanchaung,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013040,Hlaing,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013041,Kamaryut,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013042,Mayangone,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013043,Dagon,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013044,Bahan,MMR013D004,"Yangon (West)",YGN,Yangon
MMR013045,Seikkan,MMR013D004,"Yangon (West)",YGN,Yangon
MMR014001,Taunggyi,MMR014D001,Taunggyi,SHN,Shan
MMR014002,Nyaungshwe,MMR014D001,Taunggyi,SHN,Shan
MMR014003,Hopong,MMR014D001,Taunggyi,SHN,Shan
MMR014004,Hsihseng,MMR014D001,Taunggyi,SHN,Shan
MMR014005,Kalaw,MMR014D001,Taunggyi,SHN,Shan
MMR014006,Pindaya,MMR014D001,Taunggyi,SHN,Shan
MMR014007,Ywangan,MMR014D001,Taunggyi,SHN,Shan
MMR014008,Lawksawk,MMR014D001,Taunggyi,SHN,Shan
MMR014009,Pinlaung,MMR014D001,Taunggyi,SHN,Shan
MMR014010,Pekon,MMR014D001,Taunggyi,SHN,Shan
MMR014001703,Kyauktalonegyi,MMR014D001,Taunggyi,SHN,Shan
MMR014008702,Intaw,MMR014D001,Taunggyi,SHN,Shan
MMR014009702,"Naungtayar ",MMR014D001,Taunggyi,SHN,Shan
MMR014011,Loilen,MMR014D002,Loilen,SHN,Shan
MMR014012,Laihka,MMR014D002,Loilen,SHN,Shan
MMR014013,Nansang,MMR014D002,Loilen,SHN,Shan
MMR014014,Kunhing,MMR014D002,Loilen,SHN,Shan
MMR014015,Kyethi,MMR014D002,Loilen,SHN,Shan
MMR014016,Mongkaing,MMR014D002,Loilen,SHN,Shan
MMR014017,Monghsu,MMR014D002,Loilen,SHN,Shan
MMR014011702,Pinlon,MMR014D002,Loilen,SHN,Shan
MMR014013702,"Kho Lam",MMR014D002,Loilen,SHN,Shan
MMR014014702,"Kar Li",MMR014D002,Loilen,SHN,Shan
MMR014015702,"Mongnawng ",MMR014D002,Loilen,SHN,Shan
MMR014017702,"Mongsan (Hmonesan)",MMR014D002,Loilen,SHN,Shan
MMR014018,Langkho,MMR014D003,Langkho,SHN,Shan
MMR014019,Mongnai,MMR014D003,Langkho,SHN,Shan
MMR014020,Mawkmai,MMR014D003,Langkho,SHN,Shan
MMR014021,Mongpan,MMR014D003,Langkho,SHN,Shan
MMR014018702,Homein,MMR014D003,Langkho,SHN,Shan
MMR014019702,"Kengtawng ",MMR014D003,Langkho,SHN,Shan
MMR015001,Lashio,MMR015D001,Lashio,SHN,Shan
MMR015002,Hseni,MMR015D001,Lashio,SHN,Shan
MMR015003,Mongyai,MMR015D001,Lashio,SHN,Shan
MMR015004,Tangyan,MMR015D001,Lashio,SHN,Shan
MMR015009,Muse,MMR015D002,Muse,SHN,Shan
MMR015010,Namhkan,MMR015D002,Muse,SHN,Shan
MMR015011,Kutkai,MMR015D002,Muse,SHN,Shan
MMR015009702,Monekoe,MMR015D002,Muse,SHN,Shan
MMR015009703,"Manhlyoe (Manhero)",MMR015D002,Muse,SHN,Shan
MMR015009704,"Pang Hseng (Kyu Koke)",MMR015D002,Muse,SHN,Shan
MMR015011702,Tarmoenye,MMR015D002,Muse,SHN,Shan
MMR015012,Kyaukme,MMR015D003,Kyaukme,SHN,Shan
MMR015013,Nawnghkio,MMR015D003,Kyaukme,SHN,Shan
MMR015014,Hsipaw,MMR015D003,Kyaukme,SHN,Shan
MMR015015,Namtu,MMR015D003,Kyaukme,SHN,Shan
MMR015016,Namhsan,MMR015D003,Kyaukme,SHN,Shan
MMR015017,Mongmit,MMR015D003,Kyaukme,SHN,Shan
MMR015018,Mabein,MMR015D003,Kyaukme,SHN,Shan
MMR015019,Manton,MMR015D003,Kyaukme,SHN,Shan
MMR015012702,Mongngawt,MMR015D003,Kyaukme,SHN,Shan
MMR015012703,Monglon,MMR015D003,Kyaukme,SHN,Shan
MMR015020,Kunlong,MMR015D004,Kunlong,SHN,Shan
MMR015022,Laukkaing,MMR015D005,Laukkaing,SHN,Shan
MMR015023,Konkyan,MMR015D005,Laukkaing,SHN,Shan
MMR015022702,"Chinshwehaw ",MMR015D005,Laukkaing,SHN,Shan
MMR015023702,"Maw Hteik",MMR015D005,Laukkaing,SHN,Shan
MMR015021,Hopang,MMR015D006,Hopang,SHN,Shan
MMR015008,Mongmao,MMR015D006,Hopang,SHN,Shan
MMR015007,Pangwaun,MMR015D006,Hopang,SHN,Shan
MMR015021703,"Pan Lon",MMR015D006,Hopang,SHN,Shan
MMR015024,Matman,MMR015D007,Matman,SHN,Shan
MMR015005,Pangsang,MMR015D007,Matman,SHN,Shan
MMR015006,Narphan,MMR015D007,Matman,SHN,Shan
MMR015005702,"Man Kan",MMR015D007,Matman,SHN,Shan
MMR016001,Kengtung,MMR016D001,Kengtung,SHN,Shan
MMR016002,Mongkhet,MMR016D001,Kengtung,SHN,Shan
MMR016003,Mongyang,MMR016D001,Kengtung,SHN,Shan
MMR016005,Mongla,MMR016D001,Kengtung,SHN,Shan
MMR016003702,Mongpauk,MMR016D001,Kengtung,SHN,Shan
MMR016006,Monghsat,MMR016D002,Monghsat,SHN,Shan
MMR016007,Mongping,MMR016D002,Monghsat,SHN,Shan
MMR016008,Mongton,MMR016D002,Monghsat,SHN,Shan
MMR016006702,Mongkhoke,MMR016D002,Monghsat,SHN,Shan
MMR016007702,Tontar,MMR016D002,Monghsat,SHN,Shan
MMR016008702,Ponparkyin,MMR016D002,Monghsat,SHN,Shan
MMR016008703,"Hmone Hta",MMR016D002,Monghsat,SHN,Shan
MMR016009,Tachileik,MMR016D003,Tachileik,SHN,Shan
MMR016009703,Tarlay,MMR016D003,Tachileik,SHN,Shan
MMR016009702,Kenglat,MMR016D003,Tachileik,SHN,Shan
MMR016010,Monghpyak,MMR016D004,Monghpyak,SHN,Shan
MMR016011,Mongyawng,MMR016D004,Monghpyak,SHN,Shan
MMR016011702,Mongyu,MMR016D004,Monghpyak,SHN,Shan
MMR017002,Kangyidaunt,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017007,Kyaunggon,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017005,Kyonpyaw,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017004,Ngapudaw,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017001,Pathein,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017006,Yegyi,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017003,Thabaung,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017004702,Ngayokekaung,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017004703,Hainggyikyun,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017001702,Shwethaungyan,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017001703,Ngwesaung,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017006702,Ngathaingchaung,MMR017D001,Pathein,AYY,Ayeyarwady
MMR017025,Kyaiklat,MMR017D006,Pyapon,AYY,Ayeyarwady
MMR017026,Dedaye,MMR017D006,Pyapon,AYY,Ayeyarwady
MMR017023,Pyapon,MMR017D006,Pyapon,AYY,Ayeyarwady
MMR017024,Bogale,MMR017D006,Pyapon,AYY,Ayeyarwady
MMR017023702,Ahmar,MMR017D006,Pyapon,AYY,Ayeyarwady
MMR017021,Nyaungdon,MMR017D005,Maubin,AYY,Ayeyarwady
MMR017022,Danubyu,MMR017D005,Maubin,AYY,Ayeyarwady
MMR017020,Pantanaw,MMR017D005,Maubin,AYY,Ayeyarwady
MMR017019,Maubin,MMR017D005,Maubin,AYY,Ayeyarwady
MMR017014,Myaungmya,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017017,Wakema,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017015,Einme,MMR017D003,Myaungmya,AYY,Ayeyarwady
MMR017018,Mawlamyinegyun,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017016,Labutta,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017016702,Pyinsalu,MMR017D004,Labutta,AYY,Ayeyarwady
MMR017012,Kyangin,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017009,Zalun,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017011,Myanaung,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017010,Lemyethna,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017008,Hinthada,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR017013,Ingapu,MMR017D002,Hinthada,AYY,Ayeyarwady
MMR018003,Tatkon,MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018001,"Zay Yar Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018008,"Oke Ta Ra Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018005,"Poke Ba Thi Ri",MMR018D001,"Naypyitaw (North)",NPW,"Nay Pyi Taw"
MMR018006,Pyinmana,MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018007,Lewe,MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018002,"Za Bu Thi Ri",MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
MMR018004,"Det Khi Na Thi Ri ",MMR018D002,"Naypyitaw (South)",NPW,"Nay Pyi Taw"
